oyun_adi,puan,fiyat,yas_siniri,guncellenme_tarihi,tur_adi,URL
Terraria,"4,7","34,99",12,20 Nisan 2026,"Aksiyon, Aksiyon-macera, Hayatta Kalma",https://play.google.com/store/apps/details?id=com.and.games505.TerrariaPaid
Toon Blast,"4,5",0,3,18 Mayıs 2026,"Bulmaca, Üçlü Eşleme",https://play.google.com/store/apps/details?id=net.peakgames.toonblast
Incredibox,"4,8","149,99",3,29 Aralık 2025,"Müzik, Müzik simülasyonu, Basit",https://play.google.com/store/apps/details?id=com.sofarsogood.incredibox
Human Fall Flat,"4,0","41,99",3,17 Nisan 2026,"Aksiyon, Platform",https://play.google.com/store/apps/details?id=com.and.games505.humanfallflat
Grand Theft Auto: Vice City,"3,3","139,99",18,15 Mayıs 2026,"Aksiyon, Aksiyon-macera",https://play.google.com/store/apps/details?id=com.rockstargames.gtavc
The Room: Old Sins,"4,9","180,00",7,11 Mayıs 2026,"Bulmaca, Kaçış, Basit",https://play.google.com/store/apps/details?id=com.FireproofStudios.TheRoom4
Hidden Folks,"4,6","79,99",3,5 Haziran 2020,"Bulmaca, Gizli nesne, Basit",https://play.google.com/store/apps/details?id=com.adriaandejongh.hiddenfolks
Baldur's Gate Enhanced Edition,"4,4","69,99",16,10 Ekim 2025,"Rol Yapma, Basit",https://play.google.com/store/apps/details?id=com.beamdog.baldursgateenhancededition
The House of Da Vinci 2,"4,8","109,99",7,23 Ocak 2026,"Macera, Bulmacalı macera, Basit",https://play.google.com/store/apps/details?id=com.bluebraingames.houseofdavinci2
The House of Da Vinci,"4,8","46,00",7,19 Ocak 2026,"Macera, Bulmacalı macera",https://play.google.com/store/apps/details?id=com.bluebraingames.thehouseofdavinci
Crashlands,"4,7","294,99",12,5 Aralık 2021,"Aksiyon, Aksiyon-macera, Basit",https://play.google.com/store/apps/details?id=com.bscotch.crashlands
Through the Ages,"4,8","62,99",7,8 Eylül 2025,"Masa, Soyut strateji, Basit",https://play.google.com/store/apps/details?id=com.czechgames.tta
Reigns: Game of Thrones,"4,3","21,99",7,8 Temmuz 2025,"Strateji, Basit",https://play.google.com/store/apps/details?id=com.devolver.reignsGot
Sentinels of the Multiverse,,"379,99",12,,"Kart, Kart savaşı, Basit",https://play.google.com/store/apps/details?id=com.handelabra.Sentinels
911 Operator,"3,7","39,99",12,26 Aralık 2020,"Simülasyon, Basit",https://play.google.com/store/apps/details?id=com.jutsugames.operator911
SIMULACRA,"4,9","31,99",16,17 Haziran 2024,"Macera, Etkileşimli hikaye, Basit",https://play.google.com/store/apps/details?id=com.kaigan.simulacra
Door Kickers,"4,7","154,99",16,25 Nisan 2026,"Strateji, Taktik, Basit",https://play.google.com/store/apps/details?id=com.khg.doorkickers
Büyücüyü Kurtar,"4,3","66,99",3,21 Mart 2020,"Macera, Bulmacalı macera, Basit",https://play.google.com/store/apps/details?id=com.lonewolfgames.rescueenchanter
Classic Words Plus,"4,0","354,99",3,24 Eylül 2024,"Kelime, Kelime oluşturma, Basit",https://play.google.com/store/apps/details?id=com.lulo.scrabble.classicwordsplus
Battleship: The Board Game,"3,9","134,99",7,31 Ağustos 2024,"Masa, Soyut strateji, Basit",https://play.google.com/store/apps/details?id=com.marmalade.battleship
Evoland 2,"3,9","25,00",12,30 Ocak 2023,"Rol Yapma, Aksiyon Rol Yapma, Basit",https://play.google.com/store/apps/details?id=com.playdigious.evoland2
Ticket to Earth,"4,9","17,99",12,13 Mart 2022,"Rol Yapma, Bulmacalı rol yapma",https://play.google.com/store/apps/details?id=com.robot_circus.TTE
FINAL FANTASY IX for Android,"2,9",1,12,19 Nisan 2026,"Rol Yapma, Sıraya dayalı RYO, Basit",https://play.google.com/store/apps/details?id=com.square_enix.FFIXww.android_googleplay
FINAL FANTASY IV (3D REMAKE),"2,3","829,99",7,15 Kasım 2021,"Rol Yapma, Aksiyon Rol Yapma",https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.FFIV_GP
FINAL FANTASY TACTICS : WotL,"4,2","799,99",7,2 Mart 2021,"Rol Yapma, Taktiğe dayalı, Basit",https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.FFT_en2
Escapists 2: Pocket Breakout,"4,2","47,99",7,22 Haziran 2022,Basit,https://play.google.com/store/apps/details?id=com.team17.escapists2
Race for the Galaxy,,"24,99",3,,"Masa, Soyut strateji, Basit",https://play.google.com/store/apps/details?id=com.templegatesgames.RaceAndroid
Kingdom: New Lands,"4,7","53,99",3,27 Kasım 2025,"Macera, Basit",https://play.google.com/store/apps/details?id=nl.noio.kingdom
Baba Is You,"4,9","61,26",3,31 Ocak 2026,"Bulmaca, Mantık, Basit",https://play.google.com/store/apps/details?id=org.hempuli.baba
